Euclidean, WSS, BSS, Entropy, Weighted Entropy
k = 2, 0.0, 0.0, 0.0, 0.0, 
Euclidean, WSS, BSS, Entropy, Weighted Entropy
k = 2, 0.0, 0.0, 0.0, 0.0, 
Euclidean, WSS, BSS, Entropy, Weighted Entropy
k = 2, 0.0, 0.0, 0.0, 0.0, 
Euclidean, WSS, BSS, Entropy, Weighted Entropy
k = 2, 0.0, 0.0, 0.0, 0.0, 
Euclidean, WSS, BSS, Entropy, Weighted Entropy
k = 2, 0.0, 0.0, 0.0, 0.0, 
Euclidean, WSS, BSS, Entropy, Weighted Entropy
k = 2, 0.0, 0.0, 0.0, 0.0, 
 
Euclidean, Entropy, Weighted Entropy
0, 0.0, 0.0
1, 0.0, 0.0
