Euclidean,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 3, 40.279092390196645, 7.991609446214071E14, 1.9840589675647992E13, 0.7514854021988338, 0.2485145978011662, 
Euclidean,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 6, 11.795779309555268, 3.884869337509423E13, 3.293440166655587E12, 0.9248313089708878, 0.07516869102911214, 
Euclidean,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 9, 7.955874236947045, 3.3103368257668423E12, 4.1608712344818787E11, 0.9292160837413104, 0.07078391625868959, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 3, 79.14342874302875, 5.282086629279561E8, 6674068.476904126, 0.7429510367210879, 0.2570489632789121, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 6, 39.326730998389685, 6.953141963797238E7, 1768044.733766951, 0.8173667540091161, 0.18263324599088387, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 9, 31.36061055180965, 2.9151816009377956E7, 929567.8718122331, 0.9269659218575571, 0.07303407814244292, 
 
Euclidean,Entropy, Weighted Entropy
0, 0.18768409270499464, 0.047546636818598643
1, 0.4862128088287925, 0.20096796098256756
2, 0.0, 0.0
Euclidean,Entropy, Weighted Entropy
0, 0.14419151484627768, 0.025954472672329983
1, 0.0, 0.0
2, 0.0, 0.0
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.41011848630651804, 0.04921421835678216
Euclidean,Entropy, Weighted Entropy
0, 0.0, 0.0
1, 0.19530015947347854, 0.023436019136817424
2, 0.0, 0.0
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.0, 0.0
6, 0.0, 0.0
7, 0.14419151484627768, 0.025954472672329983
8, 0.24684720518702508, 0.021393424449542175
Manhattan,Entropy, Weighted Entropy
0, 0.19140821057178242, 0.047214025274372996
1, 0.4996069952489026, 0.2098349380045391
2, 0.0, 0.0
Manhattan,Entropy, Weighted Entropy
0, 0.5893313279970289, 0.1571550207992077
1, 0.0, 0.0
2, 0.0, 0.0
3, 0.15286935115005693, 0.025478225191676154
4, 0.0, 0.0
5, 0.0, 0.0
Manhattan,Entropy, Weighted Entropy
0, 0.16279165503752754, 0.024961387105754223
1, 0.0, 0.0
2, 0.4241708032649003, 0.0480726910366887
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.0, 0.0
6, 0.0, 0.0
7, 0.0, 0.0
8, 0.0, 0.0
